加载 OCR 引擎...
总页数: 393, 已完成: 0
[191/393] 第191页 2.6s chars=663 ETA=8.6min
[192/393] 第192页 2.5s chars=528 ETA=8.6min
[193/393] 第193页 2.3s chars=402 ETA=8.5min
[194/393] 第194页 1.9s chars=224 ETA=8.5min
[195/393] 第195页 2.2s chars=289 ETA=8.4min
[196/393] 第196页 2.0s chars=195 ETA=8.4min
[197/393] 第197页 1.8s chars=237 ETA=8.3min
[198/393] 第198页 2.7s chars=530 ETA=8.3min
[199/393] 第199页 2.4s chars=580 ETA=8.3min
[200/393] 第200页 2.0s chars=334 ETA=8.2min
[201/393] 第201页 2.4s chars=616 ETA=8.2min
[202/393] 第202页 2.0s chars=207 ETA=8.1min
[203/393] 第203页 2.0s chars=346 ETA=8.1min
[204/393] 第204页 1.9s chars=293 ETA=8.0min
[205/393] 第205页 2.1s chars=250 ETA=8.0min
[206/393] 第206页 2.1s chars=244 ETA=7.9min
[207/393] 第207页 1.7s chars=107 ETA=7.9min
[208/393] 第208页 2.2s chars=378 ETA=7.8min
[209/393] 第209页 0.8s chars=3 ETA=7.8min
[210/393] 第210页 3.1s chars=663 ETA=7.7min
[211/393] 第211页 2.1s chars=276 ETA=7.7min
[212/393] 第212页 2.9s chars=765 ETA=7.7min
[213/393] 第213页 0.7s chars=26 ETA=7.6min
[214/393] 第214页 2.8s chars=541 ETA=7.6min
[215/393] 第215页 2.2s chars=474 ETA=7.5min
[216/393] 第216页 1.8s chars=250 ETA=7.5min
[217/393] 第217页 2.0s chars=271 ETA=7.4min
[218/393] 第218页 2.4s chars=512 ETA=7.4min
[219/393] 第219页 2.1s chars=326 ETA=7.3min
[220/393] 第220页 2.5s chars=566 ETA=7.3min
[221/393] 第221页 2.1s chars=331 ETA=7.2min
[222/393] 第222页 0.9s chars=32 ETA=7.2min
[223/393] 第223页 1.1s chars=3 ETA=7.1min
[224/393] 第224页 3.9s chars=859 ETA=7.1min
[225/393] 第225页 1.2s chars=77 ETA=7.0min
[226/393] 第226页 3.2s chars=614 ETA=7.0min
[227/393] 第227页 2.4s chars=395 ETA=7.0min
[228/393] 第228页 2.2s chars=379 ETA=6.9min
[229/393] 第229页 2.2s chars=436 ETA=6.9min
[230/393] 第230页 2.0s chars=333 ETA=6.8min
[231/393] 第231页 2.1s chars=372 ETA=6.8min
[232/393] 第232页 3.2s chars=953 ETA=6.8min
[233/393] 第233页 1.9s chars=322 ETA=6.7min
[234/393] 第234页 2.2s chars=380 ETA=6.7min
[235/393] 第235页 1.1s chars=30 ETA=6.6min
[236/393] 第236页 3.9s chars=862 ETA=6.6min
[237/393] 第237页 2.1s chars=185 ETA=6.5min
[238/393] 第238页 2.4s chars=387 ETA=6.5min
[239/393] 第239页 2.7s chars=646 ETA=6.5min
[240/393] 第240页 2.0s chars=314 ETA=6.4min
[241/393] 第241页 2.3s chars=367 ETA=6.4min
[242/393] 第242页 3.1s chars=731 ETA=6.3min
[243/393] 第243页 2.7s chars=539 ETA=6.3min
